2020-03-10 00:07:54 INFO  SingleObject:13 - Hello World!
2020-03-10 00:28:09 INFO  Circle:10 - Inside Circle::draw() method.
2020-03-10 00:28:09 INFO  Rectangle:8 - Inside Rectangle::draw() method.
2020-03-10 00:28:09 INFO  Square:9 - Inside Square::draw() method.
2020-03-10 00:43:47 INFO  Circle:10 - Circle::draw()
2020-03-10 00:43:47 INFO  Rectangle:9 - Rectangle::draw()
2020-03-10 00:43:47 INFO  Square:10 - Square::draw()
2020-03-10 00:54:20 INFO  RedCircle:10 - Drawing Circle[ color: red, radius: 10, x: 100, 100]
2020-03-10 00:54:20 INFO  GreenCircle:10 - Drawing Circle[ color: green, radius: 10, x: 100, 100]
2020-03-10 01:05:43 INFO  Stock:11 - Stock [ Name: ABCQuantity: 10 ] bought
2020-03-10 01:05:43 INFO  Stock:14 - Stock [ Name: ABCQuantity: 10 ] sold
2020-03-10 01:15:46 INFO  IteratorPatternDemo:11 - Name : Robert
2020-03-10 01:15:46 INFO  IteratorPatternDemo:11 - Name : John
2020-03-10 01:15:46 INFO  IteratorPatternDemo:11 - Name : Julie
2020-03-10 01:15:46 INFO  IteratorPatternDemo:11 - Name : Lora
